Timestamp(ms),Current(uA)
42116.58,381.682
42116.59,381.234
42116.6,380.786
42116.61,378.548
42116.62,381.682
42116.63,381.234
42116.64,382.129
42116.65,385.264
42116.66,386.160
42116.67,382.577
42116.68,380.338
42116.69,381.682
42116.7,383.473
42116.71,383.473
42116.72,383.025
42116.73,383.920
42116.74,383.920
42116.75,385.264
42116.76,382.577
42116.77,383.473
42116.78,386.608
42116.79,385.712
42116.8,386.608
42116.81,387.056
42116.82,386.160
42116.83,389.295
42116.84,391.087
42116.85,390.639
42116.86,391.087
42116.87,387.056
42116.88,385.264
42116.89,385.264
42116.9,384.816
42116.91,385.264
42116.92,383.920
42116.93,382.577
42116.94,379.891
42116.95,377.652
42116.96,378.995
42116.97,379.443
42116.98,381.234
42116.99,381.234
42117,384.368
42117.01,386.608
42117.02,383.920
42117.03,383.920
42117.04,386.608
42117.05,388.399
42117.06,386.608
42117.07,387.951
42117.08,388.399
42117.09,386.160
42117.1,390.639
42117.11,388.399
42117.12,390.639
42117.13,388.399
42117.14,385.264
42117.15,386.160
42117.16,386.608
42117.17,388.399
42117.18,384.816
42117.19,384.368
42117.2,381.682
42117.21,383.920
42117.22,384.816
42117.23,382.129
42117.24,379.891
42117.25,377.652
42117.26,374.520
42117.27,374.967
42117.28,373.625
42117.29,374.072
42117.3,374.072
42117.31,373.625
42117.32,374.072
42117.33,375.862
42117.34,376.310
42117.35,378.995
42117.36,380.338
42117.37,381.234
42117.38,379.891
42117.39,376.310
42117.4,374.520
42117.41,371.387
42117.42,372.282
42117.43,371.387
42117.44,368.703
42117.45,370.045
42117.46,367.361
42117.47,368.256
42117.48,369.150
42117.49,371.387
42117.5,368.703
42117.51,366.914
42117.52,366.020
42117.53,364.231
42117.54,365.125
42117.55,367.809
42117.56,371.835
42117.57,371.835
42117.58,370.493
42117.59,367.809
42117.6,368.256
42117.61,371.835
42117.62,373.625
42117.63,374.967
42117.64,373.625
42117.65,373.177
42117.66,371.835
42117.67,370.940
42117.68,371.835
42117.69,373.177
42117.7,372.730
42117.71,374.520
42117.72,374.072
42117.73,379.443
42117.74,382.577
42117.75,384.816
42117.76,385.264
42117.77,386.160
42117.78,386.160
42117.79,387.951
42117.8,388.399
42117.81,391.087
42117.82,393.776
42117.83,389.295
42117.84,388.847
42117.85,384.816
42117.86,383.025
42117.87,384.368
42117.88,385.712
42117.89,387.951
42117.9,388.399
42117.91,391.536
42117.92,394.672
42117.93,395.121
42117.94,392.880
42117.95,391.536
42117.96,389.743
42117.97,387.951
42117.98,387.951
42117.99,388.399
42118,390.639
42118.01,391.087
42118.02,390.639
42118.03,388.399
42118.04,389.743
42118.05,390.639
42118.06,387.951
42118.07,385.712
42118.08,384.816
42118.09,383.473
42118.1,386.160
42118.11,386.608
42118.12,385.712
42118.13,385.712
42118.14,386.608
42118.15,384.816
42118.16,383.920
42118.17,384.368
42118.18,387.056
42118.19,387.951
42118.2,388.399
42118.21,387.056
42118.22,385.712
42118.23,384.368
42118.24,381.234
42118.25,378.995
42118.26,377.205
42118.27,378.548
42118.28,379.891
42118.29,378.548
42118.3,381.682
42118.31,382.577
42118.32,386.160
42118.33,384.368
