Timestamp(ms),Current(uA)
38355.89,404.984
38355.9,400.948
38355.91,400.052
38355.92,400.500
38355.93,397.362
38355.94,393.776
38355.95,390.639
38355.96,387.504
38355.97,387.951
38355.98,387.504
38355.99,386.160
38356,389.295
38356.01,387.056
38356.02,387.056
38356.03,381.682
38356.04,377.652
38356.05,377.205
38356.06,375.415
38356.07,377.652
38356.08,378.548
38356.09,375.862
38356.1,372.282
38356.11,372.282
38356.12,371.387
38356.13,370.045
38356.14,369.598
38356.15,369.150
38356.16,369.598
38356.17,369.150
38356.18,368.703
38356.19,366.020
38356.2,365.572
38356.21,364.678
38356.22,367.361
38356.23,369.598
38356.24,370.493
38356.25,373.625
38356.26,375.415
38356.27,379.891
38356.28,383.473
38356.29,383.025
38356.3,383.473
38356.31,386.160
38356.32,388.847
38356.33,390.639
38356.34,390.191
38356.35,388.399
38356.36,390.639
38356.37,392.432
38356.38,394.672
38356.39,391.984
38356.4,392.880
38356.41,394.224
38356.42,395.121
38356.43,393.328
38356.44,394.224
38356.45,394.672
38356.46,395.569
38356.47,397.362
38356.48,395.569
38356.49,397.362
38356.5,396.914
38356.51,395.569
38356.52,391.984
38356.53,390.639
38356.54,391.536
38356.55,392.432
38356.56,389.743
38356.57,388.399
38356.58,389.743
38356.59,388.847
38356.6,388.399
38356.61,390.191
38356.62,387.951
38356.63,389.295
38356.64,388.847
38356.65,392.432
38356.66,391.984
38356.67,391.087
38356.68,390.639
38356.69,387.951
38356.7,386.608
38356.71,386.608
38356.72,386.160
38356.73,383.025
38356.74,383.473
38356.75,379.891
38356.76,379.891
38356.77,380.786
38356.78,381.234
38356.79,379.891
38356.8,375.862
38356.81,376.310
38356.82,371.835
38356.83,366.467
38356.84,362.889
38356.85,360.654
38356.86,357.972
38356.87,357.525
38356.88,357.078
38356.89,360.207
38356.9,356.631
38356.91,354.844
38356.92,354.844
38356.93,355.290
38356.94,357.525
38356.95,358.419
38356.96,355.290
38356.97,352.610
38356.98,352.163
38356.99,353.056
38357,354.397
38357.01,354.397
38357.02,353.503
38357.03,350.823
38357.04,350.823
38357.05,353.056
38357.06,353.056
38357.07,359.313
38357.08,364.231
38357.09,366.020
38357.1,368.256
38357.11,368.703
38357.12,368.703
38357.13,369.150
38357.14,371.387
38357.15,375.415
38357.16,377.652
38357.17,378.548
38357.18,379.443
38357.19,381.682
38357.2,380.338
38357.21,383.473
38357.22,383.025
38357.23,384.368
38357.24,382.129
38357.25,383.025
38357.26,377.652
38357.27,381.234
38357.28,387.056
38357.29,387.504
38357.3,386.608
